epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3482.01,0.96125,0.69168,1.00398,0.82501,0.92797,0.89116,0.68752,1.00625,0.62941,0.96104,0.000848969,0.000848969,0.000848969
43,3562.94,0.95344,0.68214,0.98113,0.834,0.90875,0.89761,0.69858,0.95521,0.62845,0.95811,0.000834822,0.000834822,0.000834822
44,3647.02,0.93482,0.67094,0.98726,0.85532,0.9077,0.89242,0.6978,0.96411,0.59775,0.96465,0.000820675,0.000820675,0.000820675
45,3725.79,0.92673,0.65059,0.98592,0.87239,0.88493,0.89747,0.7092,0.94556,0.60162,0.95413,0.000806528,0.000806528,0.000806528
46,3803.63,0.91541,0.6607,0.97295,0.83758,0.93281,0.87625,0.69212,0.95577,0.6191,0.95659,0.00079238,0.00079238,0.00079238
47,3883.22,0.92735,0.66199,0.99792,0.81985,0.96023,0.90446,0.71374,0.94338,0.63018,0.94891,0.000778233,0.000778233,0.000778233
48,3962.14,0.94032,0.64116,0.99519,0.84119,0.90875,0.88297,0.69004,0.95507,0.60735,0.95845,0.000764086,0.000764086,0.000764086
49,4040.38,0.93079,0.6464,0.98105,0.81172,0.96128,0.89443,0.70322,0.95411,0.61495,0.9628,0.000749939,0.000749939,0.000749939
50,4119.5,0.93997,0.63387,0.99346,0.83389,0.94483,0.88218,0.68189,0.97837,0.58217,0.9622,0.000735792,0.000735792,0.000735792
51,4198.4,0.90908,0.65906,0.97662,0.80918,0.97947,0.86268,0.67221,0.94452,0.5786,0.94523,0.000721645,0.000721645,0.000721645
52,4276.26,0.92243,0.63504,0.96975,0.81216,0.97471,0.85842,0.67506,0.93851,0.58225,0.94182,0.000707498,0.000707498,0.000707498
53,4353.95,0.91891,0.65441,0.97786,0.8171,0.92252,0.86778,0.67628,0.9531,0.58639,0.94613,0.000693351,0.000693351,0.000693351
54,4431.1,0.94227,0.64386,0.98563,0.82217,0.93,0.86623,0.67737,0.94653,0.5951,0.95892,0.000679204,0.000679204,0.000679204
55,4508.11,0.90874,0.6088,0.97895,0.81307,0.94846,0.87256,0.67212,0.98624,0.58363,0.95319,0.000665057,0.000665057,0.000665057
56,4589.3,0.92996,0.63045,0.98885,0.81465,0.97327,0.87805,0.6928,0.94438,0.60042,0.9494,0.000650909,0.000650909,0.000650909
57,4668.58,0.92159,0.61009,0.99212,0.85796,0.86802,0.8763,0.68187,0.95015,0.59081,0.964,0.000636762,0.000636762,0.000636762
58,4747.06,0.91861,0.6094,0.98465,0.81496,0.95656,0.87006,0.67742,0.94798,0.59152,0.96332,0.000622615,0.000622615,0.000622615
59,4825.61,0.90063,0.59345,0.97394,0.83086,0.9389,0.87756,0.69017,0.95026,0.58514,0.94941,0.000608468,0.000608468,0.000608468
60,4903.22,0.91895,0.59823,0.97361,0.82737,0.96381,0.85278,0.66822,0.95391,0.57672,0.94308,0.000594321,0.000594321,0.000594321
61,4981.79,0.90844,0.59984,0.97603,0.82533,0.95432,0.86252,0.6793,0.9352,0.56288,0.94367,0.000580174,0.000580174,0.000580174
62,5060.53,0.89681,0.60046,0.97528,0.82844,0.95404,0.88147,0.69648,0.93443,0.56865,0.94439,0.000566027,0.000566027,0.000566027
63,5138.4,0.89407,0.6048,0.9784,0.82132,0.9435,0.88603,0.69455,0.92314,0.56698,0.9473,0.00055188,0.00055188,0.00055188
64,5216.08,0.87486,0.58836,0.95769,0.82803,0.97395,0.88427,0.70407,0.91413,0.56711,0.93452,0.000537733,0.000537733,0.000537733
65,5292.61,0.88684,0.57796,0.97871,0.8242,0.97497,0.88191,0.69495,0.92484,0.57424,0.94033,0.000523586,0.000523586,0.000523586
66,5370.46,0.90912,0.60238,0.96739,0.81555,0.94336,0.87791,0.69816,0.91794,0.56836,0.9407,0.000509438,0.000509438,0.000509438
67,5447.91,0.90586,0.5852,0.97504,0.81669,0.94329,0.86103,0.68169,0.90241,0.55766,0.93128,0.000495291,0.000495291,0.000495291
68,5526.86,0.88696,0.59501,0.96016,0.82805,0.94329,0.88665,0.70368,0.90653,0.56306,0.92981,0.000481144,0.000481144,0.000481144
69,5606.95,0.85672,0.5838,0.95624,0.80994,0.95273,0.86993,0.68831,0.91145,0.54714,0.93652,0.000466997,0.000466997,0.000466997
70,5690.16,0.9014,0.58314,0.96861,0.81869,0.9623,0.86186,0.67693,0.93794,0.56484,0.94201,0.00045285,0.00045285,0.00045285
71,5770.23,0.86024,0.56737,0.96086,0.82911,0.95324,0.86596,0.68447,0.91272,0.55055,0.93469,0.000438703,0.000438703,0.000438703
72,5850.6,0.84169,0.54994,0.95514,0.82359,0.95239,0.87211,0.69576,0.9022,0.57095,0.93916,0.000424556,0.000424556,0.000424556
73,5929.28,0.84897,0.55927,0.95822,0.82913,0.92797,0.86107,0.68049,0.88903,0.57506,0.93426,0.000410409,0.000410409,0.000410409
74,6006.81,0.86799,0.55086,0.95854,0.81618,0.9195,0.87474,0.69881,0.91838,0.5661,0.93867,0.000396262,0.000396262,0.000396262
75,6085.82,0.84571,0.54905,0.95907,0.83322,0.95404,0.85831,0.69086,0.89059,0.55495,0.93393,0.000382115,0.000382115,0.000382115
76,6164.29,0.8439,0.56263,0.95039,0.82512,0.9752,0.85583,0.6819,0.87719,0.55104,0.92633,0.000367967,0.000367967,0.000367967
77,6248.37,0.84279,0.54355,0.95557,0.80371,0.95383,0.85822,0.68328,0.90194,0.55079,0.93007,0.00035382,0.00035382,0.00035382
78,6333.53,0.84737,0.55926,0.95817,0.83399,0.97555,0.86535,0.69138,0.88652,0.54715,0.92386,0.000339673,0.000339673,0.000339673
79,6414.74,0.8395,0.55483,0.9411,0.82384,0.94329,0.86953,0.7004,0.88942,0.52822,0.92733,0.000325526,0.000325526,0.000325526
80,6500.6,0.84754,0.54002,0.96444,0.82311,0.96251,0.85903,0.68758,0.89047,0.54028,0.93225,0.000311379,0.000311379,0.000311379
81,6584.62,0.83528,0.52737,0.95635,0.82577,0.96557,0.86715,0.70488,0.8724,0.53549,0.93156,0.000297232,0.000297232,0.000297232
82,6662.37,0.83534,0.5328,0.94873,0.81917,0.95973,0.87174,0.70788,0.87405,0.53985,0.92715,0.000283085,0.000283085,0.000283085
83,6746.55,0.84753,0.54267,0.95346,0.81861,0.96398,0.86379,0.68376,0.87897,0.55574,0.92536,0.000268938,0.000268938,0.000268938
84,6832.96,0.85456,0.55699,0.95443,0.79584,0.95256,0.85503,0.67751,0.88118,0.55916,0.92907,0.000254791,0.000254791,0.000254791
85,6912.3,0.82793,0.53945,0.94148,0.82821,0.93593,0.84563,0.67584,0.89521,0.55123,0.9355,0.000240644,0.000240644,0.000240644
86,6998.21,0.8441,0.53019,0.95355,0.82885,0.94329,0.84947,0.67875,0.87482,0.55407,0.92588,0.000226497,0.000226497,0.000226497
