date,filename,download,unit_download,download_unit_source,upload,unit_upload,upload_unit_source,det_conf,ocr_conf,qms_detected,qms_conf
2026-03-21T21:51:15.031907,cm_ord47657299-order_attachments_18515642.jpg,1.0,Mbit/s,detected,92.13,Mbit/s,detected,0.7185,0.9751,True,0.8889
2026-03-21T21:51:16.015921,cm_ord47657314-order_attachments_18513804.jpg,6791.0,Mbit/s,detected,0.0,Mbit/s,detected,0.7254,0.6651,True,0.7956
2026-03-21T21:51:16.916936,cm_ord47657568-order_attachments_18514674.jpg,321.98,Mbit/s,detected,380.21,Mbit/s,detected,0.7094,0.9135,True,0.8440
2026-03-21T21:51:18.228983,cm_ord47657585-order_attachments_18516619.jpg,1.0,Mbit/s,detected,1.0,Mbit/s,detected,0.6121,0.8973,True,0.7240
2026-03-21T21:51:19.138995,cm_ord47657657-order_attachments_18513830.jpg,0.0,Mbit/s,detected,151.58,Mbit/s,detected,0.6264,0.9447,True,0.6882
2026-03-21T21:51:20.034011,cm_ord47657787-order_attachments_18514718.jpg,86.86,Mbit/s,detected,126.62,Mbit/s,detected,0.6711,0.9735,True,0.6855
2026-03-21T21:51:21.157948,cm_ord47657816-order_attachments_18513900.jpg,465.6,Mbit/s,detected,510.17,Mbit/s,detected,0.7447,0.9881,True,0.7555
2026-03-21T21:51:22.224963,cm_ord47657851-order_attachments_18514652.jpg,296.55,Mbit/s,detected,14.0,Mbit/s,detected,0.6872,0.9711,True,0.6556
2026-03-21T21:51:23.232979,cm_ord47657911-order_attachments_18515254.jpg,1.0,Mbit/s,detected,291.71,Mbit/s,detected,0.6401,0.9741,True,0.7515
2026-03-21T21:51:24.046991,cm_ord47657972-order_attachments_18514888.jpg,612.55,Mbit/s,detected,711.52,Mbit/s,detected,0.7142,0.8773,True,0.8074
2026-03-21T21:51:24.935513,cm_ord47658083-order_attachments_18515392.jpg,101.19,Mbit/s,detected,59.26,Mbit/s,detected,0.7468,0.9586,True,0.7232
2026-03-21T21:51:26.171533,cm_ord47658225-order_attachments_18513964.jpg,234.97,Mbit/s,detected,5.0,Mbit/s,detected,0.8016,0.9949,True,0.8391
2026-03-21T21:51:27.113543,cm_ord47658408-order_attachments_18514162.jpg,154.13,Mbit/s,detected,0.0,Mbit/s,detected,0.6414,0.6888,True,0.8030
